"","game_str","play_id","SB","X.x","timestamp","ball_position_x","ball_position_y","ball_position_z","fP_x","fP_y","fC_x","fC_y","f2B_x","f2B_y","fSS_x","fSS_y","f1BsRn_x","f1BsRn_y"
"1","1901_05_TeamLI_TeamA3",12,1,234,305805,-1.423044,54.8841,5.79138,0.8814,55.7193,-0.6363,-5.3703,32.3445,129.7677,-31.8528,137.6697,52.2792,76.3377
"2","1901_05_TeamLI_TeamA3",12,1,235,305855,-1.184406,48.0777,5.65614,0.8604,55.3815,-0.7074,-5.199,32.3688,129.6789,-31.4298,137.5683,51.5265,77.0508
"3","1901_05_TeamLI_TeamA3",12,1,236,305905,-0.972501,41.3856,5.48937,0.8211,55.4499,-0.7746,-5.028,32.3928,129.5904,-31.0059,137.4666,50.7729,77.7648
"4","1901_05_TeamLI_TeamA3",12,1,237,305955,-0.787326,34.8078,5.29113,0.6468,55.8159,-0.84,-4.8579,32.4162,129.5025,-30.5814,137.3649,50.0172,78.4803
"5","1901_05_TeamLI_TeamA3",12,1,238,306005,-0.628881,28.34433,5.06136,0.4581,56.0877,-0.9048,-4.6872,32.4381,129.4158,-30.1554,137.2626,49.2588,79.1982
"6","1901_05_TeamLI_TeamA3",12,1,239,306055,-0.497169,21.99528,4.80009,0.2484,56.1618,-0.9702,-4.5135,32.4582,129.3312,-29.7276,137.1597,48.4965,79.9188
"7","1901_05_TeamLI_TeamA3",12,1,240,306105,-0.39219,15.76059,4.50732,0.0393,56.2761,-1.0335,-4.3446,32.475,129.249,-29.2974,137.0562,47.7291,80.6436
"8","1901_05_TeamLI_TeamA3",12,1,241,306155,-0.313941,9.64026,4.18305,-0.1413,56.154,-1.0983,-4.1718,32.4882,129.1707,-28.8642,136.9515,46.9557,81.3732
"9","1901_05_TeamLI_TeamA3",12,1,242,306205,-0.2624244,3.63423,3.82725,-0.2238,55.8447,-1.1625,-4.0008,32.4963,129.0969,-28.4277,136.8453,46.1751,82.1085
"10","1901_05_TeamLI_TeamA3",12,1,243,307055,-0.306507,2.227314,6.6528,0.7992,53.3679,-2.3562,-1.131,30.9129,129.4233,-19.5717,134.2572,31.3236,96.2166
"11","1901_05_TeamLI_TeamA3",12,1,244,307105,-0.2892795,7.76295,7.25157,0.8175,53.3034,-2.4411,-0.9711,30.687,129.567,-18.8994,134.043,30.3555,97.1673
"12","1901_05_TeamLI_TeamA3",12,1,245,307155,-0.2525352,13.25673,7.78926,0.8286,53.2518,-2.5332,-0.8109,30.447,129.7254,-18.2043,133.8237,29.3799,98.1324
"13","1901_05_TeamLI_TeamA3",12,1,246,307205,-0.1962747,18.70869,8.26587,0.837,53.2062,-2.6307,-0.6588,30.1941,129.8979,-17.4864,133.5996,28.3971,99.1116
"14","1901_05_TeamLI_TeamA3",12,1,247,307255,-0.1204992,24.1188,8.68134,0.849,53.1729,-2.7426,-0.5121,29.9289,130.0842,-16.7457,133.3716,27.408,100.1043
"15","1901_05_TeamLI_TeamA3",12,1,248,307305,-0.02520759,29.48703,9.03573,0.8601,53.1492,-2.8362,-0.4173,29.6523,130.284,-15.9822,133.14,26.4132,101.1102
"16","1901_05_TeamLI_TeamA3",12,1,249,307355,0.0895995,34.8135,9.32904,0.8706,53.1288,-2.9388,-0.3393,29.3646,130.497,-15.1968,132.9054,25.4133,102.1287
"17","1901_05_TeamLI_TeamA3",12,1,250,307405,0.2239224,40.098,9.56124,0.8808,53.121,-3.0528,-0.2805,29.067,130.722,-14.3901,132.669,24.4092,103.1583
"18","1901_05_TeamLI_TeamA3",12,1,251,307455,0.377763,45.3408,9.73236,0.8883,53.1261,-3.1779,-0.2457,28.7598,130.9587,-13.5633,132.4317,23.4012,104.1981
"19","1901_05_TeamLI_TeamA3",12,1,252,307505,0.551115,50.5416,9.84237,0.8916,53.1357,-3.3057,-0.2382,28.4442,131.2065,-12.7173,132.1944,22.3899,105.2466
"20","1901_05_TeamLI_TeamA3",12,1,253,307555,0.743985,55.7007,9.89127,0.8889,53.1603,-3.4326,-0.2556,28.1205,131.4651,-11.8539,131.9592,21.3759,106.302
"21","1901_05_TeamLI_TeamA3",12,1,254,307605,0.956373,60.8178,9.87909,0.8766,53.175,-3.5556,-0.2925,27.7902,131.733,-10.9749,131.727,20.3592,107.3631
"22","1901_05_TeamLI_TeamA3",12,1,255,307655,1.188273,65.8929,9.8058,0.8478,53.1834,-3.6738,-0.3444,27.4539,132.0099,-10.0815,131.4999,19.341,108.4278
