"","game_str","play_id","timestamp","timediff","playerAct","event","SB","popTime","exchange","timeOfThrow","timeToPlate","leadoff","rDist2B","maxSpeed","ball_x","ball_y","ball_z"
"1","1901_05_TeamLI_TeamA3",12,305805,0,"P","pitch",1,NA,NA,NA,NA,17.0381736676793,73.008703412196,26.9032560697567,-1.423044,54.8841,5.79138
"2","1901_05_TeamLI_TeamA3",12,307055,1250,"C","throw (ball-in-play)",1,NA,NA,NA,NA,17.0381736676793,44.1287397567617,26.9032560697567,-0.306507,2.227314,6.6528
"3","1901_05_TeamLI_TeamA3",12,308305,2500,"SS","ball deflection",1,NA,NA,NA,NA,17.0381736676793,10.4996696695658,26.9032560697567,0.5244,132.3777,0
"4","1901_05_TeamLI_TeamA3",81,2536803,0,"P","pitch",0,1950,700,1250,450,20.079127791067,69.9395673481757,27.1926778932402,-1.421373,54.6273,5.75325
"5","1901_05_TeamLI_TeamA3",81,2537253,450,"C","ball acquired",0,1950,700,1250,450,20.079127791067,59.4080038762455,27.1926778932402,1.01199,-1.712166,2.054004
"6","1901_05_TeamLI_TeamA3",81,2537953,1150,"C","throw (ball-in-play)",0,1950,700,1250,450,20.079127791067,41.1136770977737,27.1926778932402,-0.609201,0.996456,5.89767
"7","1901_05_TeamLI_TeamA3",81,2539203,2400,"SS","ball acquired",0,1950,700,1250,450,20.079127791067,7.1228297312234,27.1926778932402,2.831298,126.0939,0.398709
"8","1901_08_TeamLK_TeamB",42,1311692,0,"P","pitch",1,1900,650,1250,450,26.2081014430653,63.8100156813176,27.6248669389106,-0.877725,54.8367,6.23511
"9","1901_08_TeamLK_TeamB",42,1312142,450,"C","ball acquired",1,1900,650,1250,450,26.2081014430653,52.8353740061524,27.6248669389106,-1.137648,-4.60062,2.398605
"10","1901_08_TeamLK_TeamB",42,1312792,1100,"C","throw (ball-in-play)",1,1900,650,1250,450,26.2081014430653,35.7492093485996,27.6248669389106,-1.534962,-2.194875,3.11847
"11","1901_08_TeamLK_TeamB",42,1314042,2350,"3B","ball acquired",1,1900,650,1250,450,26.2081014430653,1.21812567496133,27.6248669389106,-2.507166,125.0463,1.987098
"12","1901_14_TeamLL_TeamB",75,2563199,0,"P","pitch",1,6200,700,5500,450,16.4385443522229,73.5803775501322,27.6676797341186,-2.352873,55.0332,5.80434
"13","1901_14_TeamLL_TeamB",75,2563649,450,"C","ball acquired",1,6200,700,5500,450,16.4385443522229,64.2536892861414,27.6676797341186,-0.354831,-2.19072,-0.01330086
"14","1901_14_TeamLL_TeamB",75,2564349,1150,"C","throw (ball-in-play)",1,6200,700,5500,450,16.4385443522229,48.0639017877242,27.6676797341186,-4.14678,-0.564594,0.88956
"15","1901_14_TeamLL_TeamB",75,2565799,2600,"SS","ball deflection",1,6200,700,5500,450,16.4385443522229,7.94576617325227,27.6676797341186,-8.0535,146.7108,-0.1365612
"16","1901_14_TeamLL_TeamB",75,2569849,6650,"SS","ball acquired",1,6200,700,5500,450,16.4385443522229,1.51150439628869,27.6676797341186,-4.5375,125.3529,0.3315
"17","1901_14_TeamLL_TeamB",134,4736197,0,"P","pitch",0,2000,650,1350,550,16.8007105864603,73.2156704825545,26.9563214338165,-2.582298,56.5005,6.14349
"18","1901_14_TeamLL_TeamB",134,4736747,550,"C","ball acquired",0,2000,650,1350,550,16.8007105864603,61.900855436577,26.9563214338165,-1.161159,-5.96766,1.201344
"19","1901_14_TeamLL_TeamB",134,4737397,1200,"C","throw (ball-in-play)",0,2000,650,1350,550,16.8007105864603,46.8616974738432,26.9563214338165,-0.2769324,-4.31973,6.04935
"20","1901_14_TeamLL_TeamB",134,4738747,2550,"SS","ball acquired",0,2000,650,1350,550,16.8007105864603,10.4706635381909,26.9563214338165,3.04425,129.3957,-0.0794208
"21","1901_16_TeamLH_TeamA3",143,4916272,0,"P","pitch",1,NA,NA,NA,4250,16.4273470073533,73.6020820744903,2.3955045985025,-1.173786,55.1196,6.25227
"22","1901_16_TeamLH_TeamA3",143,4916672,400,"event no player","ball bounce",1,NA,NA,NA,4250,16.4273470073533,72.6438802350893,2.3955045985025,1.586676,8.58171,0.1089849
"23","1901_16_TeamLH_TeamA3",143,4916822,550,"C","ball deflection",1,NA,NA,NA,4250,16.4273470073533,72.2920553262252,2.3955045985025,1.745193,-4.0878,2.136561
"24","1901_16_TeamLH_TeamA3",143,4920522,4250,"C","ball acquired",1,NA,NA,NA,4250,16.4273470073533,83.2304563786599,2.3955045985025,23.1393,18.5688,0.057
"25","1902_01_TeamMG_TeamA3",74,2210493,0,"P","pitch",1,NA,700,NA,500,19.9338820669733,70.0938053344231,26.1134288130288,0.02629653,57.1128,6.4854
"26","1902_01_TeamMG_TeamA3",74,2210993,500,"C","ball acquired",1,NA,700,NA,500,19.9338820669733,59.1037504587484,26.1134288130288,1.067496,-5.85063,0.830607
"27","1902_01_TeamMG_TeamA3",74,2211693,1200,"C","throw (ball-in-play)",1,NA,700,NA,500,19.9338820669733,41.7627541776162,26.1134288130288,0.765183,-1.276455,6.07755
"28","1902_01_TeamMG_TeamA3",74,2212943,2450,"SS","ball deflection",1,NA,700,NA,500,19.9338820669733,9.12096816133024,26.1134288130288,-1.432626,125.6637,0.696288
"29","1902_08_TeamMJ_TeamB",12,283044,0,"P","pitch",1,1950,650,1300,450,23.7515309708659,66.2642144408277,25.5735318146187,2.673615,52.3773,5.78178
"30","1902_08_TeamMJ_TeamB",12,283494,450,"C","ball acquired",1,1950,650,1300,450,23.7515309708659,56.2723752327907,25.5735318146187,0.447918,-4.90731,2.729697
"31","1902_08_TeamMJ_TeamB",12,284144,1100,"C","throw (ball-in-play)",1,1950,650,1300,450,23.7515309708659,40.6225020382792,25.5735318146187,0.579891,-2.642247,5.56308
"32","1902_08_TeamMJ_TeamB",12,285444,2400,"SS","ball acquired",1,1950,650,1300,450,23.7515309708659,7.37691067927489,25.5735318146187,4.72833,127.2708,3.55719
"33","1902_08_TeamMJ_TeamB",80,2885344,0,"P","pitch",1,1900,650,1250,500,20.2123483813732,69.8219033763045,27.7042924258223,2.712855,57.7008,5.89905
"34","1902_08_TeamMJ_TeamB",80,2885844,500,"C","ball acquired",1,1900,650,1250,500,20.2123483813732,59.341252768205,27.7042924258223,1.674792,-2.388414,2.232162
"35","1902_08_TeamMJ_TeamB",80,2886494,1150,"C","throw (ball-in-play)",1,1900,650,1250,500,20.2123483813732,44.173167063275,27.7042924258223,1.675806,-1.512801,5.55318
"36","1902_08_TeamMJ_TeamB",80,2887744,2400,"2B","ball acquired",1,1900,650,1250,500,20.2123483813732,9.54280153099707,27.7042924258223,-1.668666,126.4647,7.0791
"37","1902_08_TeamMJ_TeamB",103,3770444,0,"P","pitch",1,1950,600,1350,450,18.0878996904008,71.9268491400117,25.5917128765389,-1.487664,52.0485,6.29307
"38","1902_08_TeamMJ_TeamB",103,3770894,450,"C","ball acquired",1,1950,600,1350,450,18.0878996904008,62.6666664760461,25.5917128765389,-0.2089224,-5.46819,3.80703
"39","1902_08_TeamMJ_TeamB",103,3771494,1050,"C","throw (ball-in-play)",1,1950,600,1350,450,18.0878996904008,49.0188525702102,25.5917128765389,1.024698,-3.77379,5.74884
